CRIMETYPE,DATETIME,CASENUMBER,DESCRIPTION,POLICEBEAT,ADDRESS,CITY,STATE,Location
NARCOTICS,04/01/2025 08:00:00 PM,25-014603,CARRY LOADED HANDGUN: NOT REG OWNER,30X,7272 INTERNATIONAL BLVD,Oakland,CA,POINT (-122.18731 37.75977)
GRAND THEFT,04/29/2025 02:00:00 AM,25-018890,GRAND THEFT FROM PERSON,17X,501 E 18TH ST,Oakland,CA,POINT (-122.24995 37.79824)
NARCOTICS,05/08/2025 10:08:00 AM,25-020282,"IT IS UNLAWFUL TO POSSESS AN OPIUM PIPE OR ANY DEVICE, CONTRIVANCE, INSTRUMENT, OR PARAPHERNALIA USED FOR UNLAWFULLY INJECTING OR SMOKING.",34X,1639 84TH AV,Oakland,CA,POINT (-122.17534 37.75562)
DUI,05/10/2025 11:23:00 PM,25-020742,DUI ALCOHOL/DRUGS,27Y,5885 BANCROFT AV,Oakland,CA,POINT (-122.19165 37.77088)
MISDEMEANOR ASSAULT,03/26/2025 05:00:00 PM,25-013533,BATTERY,19X,1038 E 12TH ST,Oakland,CA,POINT (-122.25009 37.79092)
NARCOTICS,03/17/2025 11:30:00 PM,25-012160,POSSESS NARCOTIC CONTROLLED SUBSTANCE,34X,85TH AV & INTERNATIONAL BLVD,Oakland,CA,POINT (-122.1772 37.7533)
WEAPONS,04/08/2025 05:00:00 PM,25-015682,FELON/ADDICT/POSSESS/OWN/ETC FIREARM,26Y,6500 FENHAM ST,Oakland,CA,POINT (-122.19802 37.7601)
MISDEMEANOR ASSAULT,03/23/2025 02:17:00 PM,25-013003,CRIMINAL THREATS  THREATED CRIME W/INTENT TO TERRORIZE,02Y,3RD ST & CENTER ST,Oakland,CA,POINT (-122.29587 37.80262)
RECOVERED O/S STOLEN,04/30/2025 10:44:00 AM,25-019092,VEHICLE THEFT - AUTO,30X,6700 INTERNATIONAL BLVD,Oakland,CA,POINT (-122.19168 37.76139)
CURFEW & LOITERING,05/07/2025 10:13:00 AM,25-020166,TRESPASS:OCCUPY PROPERTY W/O CONSENT,77X,38 WEBSTER ST,Oakland,CA,POINT (-122.27483 37.79354)
BURG - AUTO,05/03/2025 08:30:00 AM,25-019531,BURGLARY-AUTO,19X,545 INTERNATIONAL BLVD,Oakland,CA,POINT (-122.25348 37.79506)
BURG - COMMERCIAL,03/30/2025 02:13:00 PM,25-014093,GRAND THEFT,31X,7801 CAPWELL DR,Oakland,CA,POINT (-122.20494 37.74051)
BURG - RESIDENTIAL,04/01/2025 02:30:00 AM,25-014559,VEHICLE THEFT - AUTO,08X,2450 VALDEZ ST,Oakland,CA,POINT (-122.26368 37.81371)
BURG - AUTO,03/19/2025 06:00:00 AM,25-902354,BURGLARY-AUTO,02X,532 UNION ST,Oakland,CA,POINT (-122.29044 37.80379)
DISORDERLY CONDUCT,04/19/2025 12:00:00 AM,25-018106,DISTURB THE PEACE,03Y,455 7TH ST,Oakland,CA,POINT (-122.27482 37.79975)
,05/17/2025 11:48:00 AM,25-021689,POSS STOLEN VEH/VES/ETC,34X,90TH AV AND HOLLY ST,Oakland,CA,POINT (-122.17323 37.75009)
OTHER,05/09/2025 08:52:00 AM,25-020416,VIOLATE COURT ORDER TO PREVENT DOMESTIC VIOLENCE,05Y,1650 17TH ST,Oakland,CA,POINT (-122.29333 37.8139)
MISDEMEANOR ASSAULT,03/27/2025 08:41:00 AM,25-013608,EXHIBIT DEADLY WEAPON OTHER THAN FIREARM,29X,3421 68TH AV,Oakland,CA,POINT (-122.17544 37.7724)
FELONY ASSAULT,04/16/2025 10:42:00 AM,25-016883,SC ADW - KNIFE OR CUTTING INSTRUMENT,17Y,2509 9TH AV,Oakland,CA,POINT (-122.24023 37.80013)
DOMESTIC VIOLENCE,06/10/2025 12:20:00 AM,25-025192,CRIMINAL THREATS  THREATED CRIME W/INTENT TO TERRORIZE,20X,2833 FOOTHILL BLVD,Oakland,CA,POINT (-122.22469 37.78431)
PETTY THEFT,03/20/2025 08:08:00 AM,25-012527,THEFT,77X,9629 E ST,Oakland,CA,POINT (-122.17748 37.74273)
RECOVERED O/S STOLEN,05/13/2025 08:02:00 PM,25-021166,VEHICLE THEFT - AUTO,32X,10200 INTERNATIONAL BLVD,Oakland,CA,POINT (-122.16829 37.7414)
PETTY THEFT,04/26/2025 12:30:00 PM,25-018548,THEFT,21X,2451 25TH AV,Oakland,CA,POINT (-122.22569 37.78985)
STOLEN VEHICLE,03/25/2025 07:02:00 AM,25-013250,VEHICLE THEFT - AUTO,30Y,2657 79TH AV,Oakland,CA,POINT (-122.17049 37.7637)
RECOVERED O/S STOLEN,05/18/2025 08:59:00 AM,25-021790,VEHICLE THEFT - AUTO,35X,9622 BURR ST,Oakland,CA,POINT (-122.15658 37.75201)
VANDALISM,04/02/2025 08:45:00 PM,25-014773,VANDALISM-$400+,32X,9840 E ST,Oakland,CA,POINT (-122.17632 37.74066)
OTHER,03/30/2025 11:15:00 AM,25-014160,VIOLATION OF PROBATION-FELONY,26Y,1325 65TH AV,Oakland,CA,POINT (-122.19473 37.76164)
PETTY THEFT,05/01/2025 11:00:00 PM,25-019407,THEFT,02X,950 3RD ST,Oakland,CA,POINT (-122.28498 37.80012)
STOLEN VEHICLE,04/20/2025 08:22:00 AM,25-018625,VEHICLE THEFT - AUTO,26X,817 52ND AV,Oakland,CA,POINT (-122.21118 37.76503)
BURG - RESIDENTIAL,03/26/2025 04:30:00 PM,25-013405,BURGLARY-NO FORCE,16X,1059 LONGRIDGE RD,Oakland,CA,POINT (-122.22939 37.81068)
,05/23/2025 07:00:00 PM,25-907103,BURGLARY-AUTO,01X,351 3RD ST,Oakland,CA,POINT (-122.27367 37.79586)
BURG - AUTO,05/22/2025 09:20:00 PM,25-022524,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,10X,5509 MARTIN LUTHER KING JR WY,Oakland,CA,POINT (-122.2702 37.83993)
ROBBERY,05/26/2025 11:17:00 AM,25-022976,ROBBERY-OTHER DANGEROUS WEAPON,06X,23RD ST & SAN PABLO AV,Oakland,CA,POINT (-122.27429 37.81385)
WEAPONS,05/24/2025 04:18:00 PM,25-022770,POSSESS NARCOTIC CONTROLLED SUBSTANCE,22X,3631 FRUITVALE AV,Oakland,CA,POINT (-122.21524 37.80264)
FORCIBLE RAPE,04/11/2025 03:00:00 AM,25-016679,SC RAPE,77X,UNKNOWN,Oakland,CA,
DISORDERLY CONDUCT,03/21/2025 02:50:00 PM,25-012719,DISTURB THE PEACE,30Y,6900 BANCROFT AV,Oakland,CA,POINT (-122.17915 37.76818)
,04/25/2025 08:00:00 AM,25-906225,ATTEMPT VEHICLE THEFT-AUTO,,166 ATHOL AVE AVE,Oakland,CA,POINT (-122.25254 37.80103)
,06/11/2025 08:30:00 AM,25-025462,BURGLARY-FORCIBLE ENTRY,05X,1084 16TH ST,Oakland,CA,POINT (-122.28411 37.81071)
,06/08/2025 08:50:00 AM,25-907255,GRAND THEFT,08X,101 FAIRMOUNT AVE,Oakland,CA,POINT (-122.26051 37.81631)
STOLEN VEHICLE,03/28/2025 02:48:00 AM,25-013773,VEHICLE THEFT - AUTO,17Y,1048 BAYVIEW AV,Oakland,CA,POINT (-122.23537 37.80178)
PETTY THEFT,06/04/2025 12:00:00 AM,25-024467,THEFT,24Y,2556 HUMBOLDT AV,Oakland,CA,POINT (-122.2114 37.78948)
